Date,Currency,Description,Record,Bid,Ask,Mid
26/09/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.446,4.466,
27/09/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.496,4.516,
28/09/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.452,4.472,
29/09/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.406,4.426,
30/09/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.419,4.439,
03/10/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.428,4.448,
04/10/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.433,4.453,
05/10/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.4,4.42,
06/10/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.371,4.391,
07/10/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.352,4.372,
10/10/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.341,4.361,
11/10/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.383,4.403,
12/10/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.419,4.439,
13/10/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.477,4.497,
14/10/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.504,4.524,
17/10/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.531,4.551,
18/10/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.498,4.518,
19/10/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.507,4.527,
20/10/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.577,4.597,
21/10/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.544,4.564,
24/10/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.56,4.58,
25/10/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.59,4.61,
26/10/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.592,4.612,
